id	text
486	a,gayclown\0
487	a,gayraper\0
488	a,god damn\0
489	a,hughgass\0
490	a,hughjass\0
491	a,hughjazz\0
492	a,imaqueer\0
493	a,japhater\0
494	a,japkilla\0
495	a,japssuck\0
496	a,jewssuck\0
497	a,jiggaboo\0
498	a,kneegros\0
499	a,kneegrow\0
500	a,likmekok\0
501	a,nigerman\0
502	a,niggaboo\0
503	a,niggafag\0
504	a,nigglets\0
505	a,niggmage\0
506	a,niggoplz\0
507	a,niggrian\0
508	a,nigofger\0
509	a,nipanese\0
510	a,niphater\0
511	a,nipkilla\0
512	a,nippless\0
513	a,phuchead\0
514	a,phuckjoo\0
515	a,phucknut\0
516	a,phuckoff\0
517	a,phuckyoo\0
518	a,phuckyou\0
519	a,pinktaco\0
520	a,poopface\0
521	a,poophead\0
522	a,screwyou\0
523	a,shithead\0
524	a,slanteye\0
525	a,assbyte\0
526	a,asscock\0
527	a,assface\0
528	a,assface\0
529	a,assfunk\0
530	a,asshair\0
531	a,asshead\0
532	a,asshole\0
533	a,asshole\0
534	a,asshole\0
535	a,asskikr\0
536	a,asslips\0
537	a,asslord\0
538	a,assmeat\0
539	a,assmilk\0
540	a,assmite\0
541	a,assmonk\0
542	a,assplug\0
543	a,asspoop\0
544	a,assweed\0
545	a,asswipe\0
546	a,asswipe\0
547	a,asswipe\0
548	a,asswipe\0
549	a,azzhead\0
550	a,azzhole\0
551	a,azzhole\0
552	a,azzkikr\0
553	a,azzrape\0
554	a,bastard\0
555	a,basterd\0
556	a,biatchs\0
557	a,bigbutt\0
558	a,bigc0ck\0
559	a,bigcock\0
560	a,bigdick\0
561	a,bignuts\0
562	a,bignuts\0
563	a,bignutz\0
564	a,bignutz\0
565	a,bigsexy\0
566	a,bigslut\0
567	a,bigtits\0
568	a,bigwang\0
569	a,bigwang\0
570	a,bitches\0
571	a,bitchin\0
572	a,biyotch\0
573	a,blowjob\0
574	a,buttboy\0
575	a,buttfuc\0
576	a,buttguy\0
577	a,buttman\0
578	a,buttman\0
579	a,buttnut\0
580	a,buttsex\0
581	a,cockboy\0
582	a,coochie\0
583	a,cracker\0
584	a,cumburp\0
585	a,cumming\0
586	a,cumonme\0
587	a,cumquat\0
588	a,cumshot\0
589	a,cumslut\0
590	a,cuntlip\0
591	a,dicface\0
592	a,dichead\0
593	a,dichead\0
594	a,diclips\0
595	a,dumbass\0
596	a,fucayou\0
597	a,fucface\0
598	a,fuchead\0
599	a,fuckboy\0
600	a,fucking\0
601	a,fuckman\0
602	a,fucknut\0
603	a,fuckoff\0
604	a,fuckyou\0
605	a,fucqdat\0
606	a,fucxyou\0
607	a,fukchop\0
608	a,fukedup\0
609	a,fukerrr\0
610	a,fukface\0
611	a,fukface\0
612	a,fukfest\0
613	a,fukhead\0
614	a,fukhole\0
615	a,fukjaps\0
616	a,fukkyou\0
617	a,fukslut\0
618	a,fukuall\0
619	a,fukumen\0
620	a,fukuoka\0
621	a,fukuppl\0
622	a,fuqbich\0
623	a,fuqfugu\0
624	a,fuxkyou\0
625	a,fyuocuk\0
626	a,god dam\0
627	a,goddamn\0
628	a,hughjas\0
629	a,hughjaz\0
630	a,jackoff\0
631	a,jerkoff\0
632	a,kneegro\0
633	a,myballs\0
634	a,neeegro\0
635	a,niggger\0
636	a,nigghaz\0
637	a,niggher\0
638	a,nigglet\0
639	a,niggurs\0
640	a,nipplez\0
641	a,phucewe\0
642	a,phucker\0
643	a,poopers\0
644	a,poopman\0
645	a,poopsie\0
646	a,raghead\0
647	a,redneck\0
648	a,scrotum\0
649	a,shitman\0
650	a,slut@ss\0
651	a,slutass\0
652	a,tarbaby\0
653	a,vaginuh\0
654	u,一擒二抄三屌西\0
655	u,切七煲湯派街坊\0
656	u,切7煲湯派街坊\0
657	a,assboy\0
658	a,assfuk\0
659	a,asshoe\0
660	a,asshol\0
661	a,asslip\0
662	a,assman\0
663	a,assuck\0
